Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",134.7955,-82.4015,-90.0000,top
"C2","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",137.4140,-82.4015,-90.0000,top
"C3","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",135.9375,-92.4560,180.0000,top
"D1","RED","LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm",128.2000,-81.5000,0.0000,top
"D2","ORANGE","LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm",144.1500,-96.6000,0.0000,top
"D3","ORANGE","LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm",144.1500,-93.5000,0.0000,top
"D4","RED","LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm",154.7000,-81.5000,0.0000,top
"P1","USB4105-GF-A","USB_C_Receptacle_Palconn_UTC16-G",127.4550,-88.9000,-90.0000,top
"R1","300R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",132.2070,-82.4015,90.0000,top
"R3","240R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",148.9000,-96.4000,180.0000,top
"R4","240R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",148.9000,-93.5000,180.0000,top
"R5","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",155.1000,-84.4500,180.0000,top
"R6","5k1","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",128.9210,-96.5200,180.0000,top
"R7","5k1","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",132.9850,-96.5200,0.0000,top
"U1","FT232RL","SSOP-28_5.3x10.2mm_P0.65mm",147.0000,-85.8250,180.0000,top
"U2","USBLC6-2SC6","SOT-23-6",135.9375,-88.5850,180.0000,top
